The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
11976 13733 5694 19854
[TEST ] 1 ----------------
15044 10665 7962 17586
[TEST ] 2 ----------------
11182 14527 3621 21927
[TEST ] 3 ----------------
13345 12364 5294 20254
[TEST ] 4 ----------------
12203 13506 4417 21131
[TEST ] 5 ----------------
12381 13328 4127 21421
[TEST ] 6 ----------------
10930 14779 3283 22265
[TEST ] 7 ----------------
11265 14444 3254 22294
[TEST ] 8 ----------------
11607 14102 3698 21850
[TEST ] 9 ----------------
10070 15639 2570 22978
[TEST ] 10 ----------------
10110 15599 2635 22913
[TEST ] 11 ----------------
9495 16214 2448 23100
[TEST ] 12 ----------------
10090 15619 2853 22695
[TEST ] 13 ----------------
7952 17757 1664 23884
[TEST ] 14 ----------------
8777 16932 2024 23524
[TEST ] 15 ----------------
8378 17331 1943 23605
[TEST ] 16 ----------------
7574 18135 1633 23915
[TEST ] 17 ----------------
7960 17749 1838 23710
[TEST ] 18 ----------------
8411 17298 2101 23447
[TEST ] 19 ----------------
8197 17512 1781 23767
[TEST ] 20 ----------------
6507 19202 1200 24348
[TEST ] 21 ----------------
7215 18494 1427 24121
[TEST ] 22 ----------------
7737 17972 1684 23864
[TEST ] 23 ----------------
6251 19458 1059 24489
[TEST ] 24 ----------------
6374 19335 1116 24432
[TEST ] 25 ----------------
7094 18615 1392 24156
[TEST ] 26 ----------------
6701 19008 1304 24244
[TEST ] 27 ----------------
7186 18523 1343 24205
[TEST ] 28 ----------------
6796 18913 1256 24292
[TEST ] 29 ----------------
6097 19612 904 24644
[TEST ] 30 ----------------
7096 18613 1417 24131
[TEST ] 31 ----------------
6772 18937 1313 24235
[TEST ] 32 ----------------
5668 20041 944 24604
[TEST ] 33 ----------------
6522 19187 1122 24426
[TEST ] 34 ----------------
6040 19669 961 24587
[TEST ] 35 ----------------
5497 20212 861 24687
[TEST ] 36 ----------------
6970 18739 1295 24253
[TEST ] 37 ----------------
6664 19045 1202 24346
[TEST ] 38 ----------------
6343 19366 1021 24527
[TEST ] 39 ----------------
7230 18479 1418 24130
[TEST ] 40 ----------------
6369 19340 1129 24419
[TEST ] 41 ----------------
6157 19552 1052 24496
[TEST ] 42 ----------------
6488 19221 1068 24480
[TEST ] 43 ----------------
5489 20220 762 24786
[TEST ] 44 ----------------
5607 20102 867 24681
[TEST ] 45 ----------------
5348 20361 776 24772
[TEST ] 46 ----------------
5814 19895 935 24613
[TEST ] 47 ----------------
7835 17874 1551 23997
[TEST ] 48 ----------------
5942 19767 958 24590
[TEST ] 49 ----------------
6953 18756 1260 24288
[TEST ] 50 ----------------
5779 19930 912 24636
[TEST ] 51 ----------------
7049 18660 1235 24313
[TEST ] 52 ----------------
5922 19787 958 24590
[TEST ] 53 ----------------
7426 18283 1455 24093
[TEST ] 54 ----------------
5741 19968 890 24658
[TEST ] 55 ----------------
6233 19476 1047 24501
[TEST ] 56 ----------------
6565 19144 1203 24345
[TEST ] 57 ----------------
7057 18652 1329 24219
[TEST ] 58 ----------------
6662 19047 1154 24394
[TEST ] 59 ----------------
6279 19430 1031 24517
[TEST ] 60 ----------------
6839 18870 1337 24211
[TEST ] 61 ----------------
5828 19881 920 24628
[TEST ] 62 ----------------
6851 18858 1179 24369
[TEST ] 63 ----------------
7311 18398 1304 24244
[TEST ] 64 ----------------
6801 18908 1171 24377
[TEST ] 65 ----------------
6480 19229 1067 24481
[TEST ] 66 ----------------
7278 18431 1369 24179
[TEST ] 67 ----------------
7079 18630 1269 24279
[TEST ] 68 ----------------
7222 18487 1321 24227
[TEST ] 69 ----------------
7488 18221 1450 24098
[TEST ] 70 ----------------
7435 18274 1436 24112
[TEST ] 71 ----------------
6649 19060 1110 24438
[TEST ] 72 ----------------
7250 18459 1398 24150
[TEST ] 73 ----------------
6004 19705 1013 24535
[TEST ] 74 ----------------
8121 17588 1723 23825
[TEST ] 75 ----------------
6590 19119 1209 24339
[TEST ] 76 ----------------
6731 18978 1272 24276
[TEST ] 77 ----------------
6829 18880 1251 24297
[TEST ] 78 ----------------
7378 18331 1380 24168
[TEST ] 79 ----------------
6570 19139 1144 24404
[TEST ] 80 ----------------
6930 18779 1375 24173
[TEST ] 81 ----------------
6482 19227 1067 24481
[TEST ] 82 ----------------
6395 19314 1158 24390
[TEST ] 83 ----------------
6121 19588 1003 24545
[TEST ] 84 ----------------
6210 19499 1050 24498
[TEST ] 85 ----------------
6494 19215 1163 24385
[TEST ] 86 ----------------
6491 19218 1125 24423
[TEST ] 87 ----------------
7137 18572 1433 24115
[TEST ] 88 ----------------
6347 19362 1143 24405
[TEST ] 89 ----------------
6242 19467 1077 24471
[TEST ] 90 ----------------
5607 20102 896 24652
[TEST ] 91 ----------------
7618 18091 1576 23972
[TEST ] 92 ----------------
7971 17738 1754 23794
[TEST ] 93 ----------------
6625 19084 1219 24329
[TEST ] 94 ----------------
6461 19248 1192 24356
[TEST ] 95 ----------------
6839 18870 1275 24273
[TEST ] 96 ----------------
7045 18664 1325 24223
[TEST ] 97 ----------------
7766 17943 1581 23967
[TEST ] 98 ----------------
6565 19144 1228 24320
[TEST ] 99 ----------------
6227 19482 1036 24512
[TEST ] 100 ----------------
6296 19413 1093 24455
[TEST ] 101 ----------------
6945 18764 1334 24214
[TEST ] 102 ----------------
7137 18572 1287 24261
[TEST ] 103 ----------------
6859 18850 1263 24285
[TEST ] 104 ----------------
6601 19108 1231 24317
[TEST ] 105 ----------------
7830 17879 1666 23882
[TEST ] 106 ----------------
8590 17119 1957 23591
[TEST ] 107 ----------------
7508 18201 1496 24052
[TEST ] 108 ----------------
6734 18975 1229 24319
[TEST ] 109 ----------------
7492 18217 1497 24051
[TEST ] 110 ----------------
7324 18385 1479 24069
[TEST ] 111 ----------------
7411 18298 1440 24108
[TEST ] 112 ----------------
7236 18473 1383 24165
[TEST ] 113 ----------------
7350 18359 1432 24116
[TEST ] 114 ----------------
7645 18064 1568 23980
[TEST ] 115 ----------------
6705 19004 1250 24298
[TEST ] 116 ----------------
7705 18004 1540 24008
[TEST ] 117 ----------------
7212 18497 1405 24143
[TEST ] 118 ----------------
6498 19211 1141 24407
[TEST ] 119 ----------------
6629 19080 1176 24372
[TEST ] 120 ----------------
8154 17555 1673 23875
[TEST ] 121 ----------------
6220 19489 1063 24485
[TEST ] 122 ----------------
5919 19790 1067 24481
[TEST ] 123 ----------------
8377 17332 1936 23612
[TEST ] 124 ----------------
7024 18685 1419 24129
[TEST ] 125 ----------------
7015 18694 1404 24144
[TEST ] 126 ----------------
6946 18763 1310 24238
[TEST ] 127 ----------------
5838 19871 1011 24537
[TEST ] 128 ----------------
6750 18959 1259 24289
[TEST ] 129 ----------------
7176 18533 1478 24070
[TEST ] 130 ----------------
7728 17981 1672 23876
[TEST ] 131 ----------------
7110 18599 1342 24206
[TEST ] 132 ----------------
7529 18180 1646 23902
[TEST ] 133 ----------------
7343 18366 1441 24107
[TEST ] 134 ----------------
8420 17289 1873 23675
[TEST ] 135 ----------------
7680 18029 1632 23916
[TEST ] 136 ----------------
6554 19155 1204 24344
[TEST ] 137 ----------------
7367 18342 1524 24024
[TEST ] 138 ----------------
6795 18914 1360 24188
[TEST ] 139 ----------------
8065 17644 1680 23868
[TEST ] 140 ----------------
7218 18491 1428 24120
[TEST ] 141 ----------------
8558 17151 1921 23627
[TEST ] 142 ----------------
8128 17581 1668 23880
[TEST ] 143 ----------------
7546 18163 1539 24009
[TEST ] 144 ----------------
7464 18245 1465 24083
[TEST ] 145 ----------------
8537 17172 1863 23685
[TEST ] 146 ----------------
8429 17280 1817 23731
[TEST ] 147 ----------------
8428 17281 1877 23671
[TEST ] 148 ----------------
8865 16844 2058 23490
[TEST ] 149 ----------------
7482 18227 1518 24030
[TEST ] 150 ----------------
8202 17507 1737 23811
[TEST ] 151 ----------------
8035 17674 1761 23787
[TEST ] 152 ----------------
7831 17878 1732 23816
[TEST ] 153 ----------------
8322 17387 1841 23707
[TEST ] 154 ----------------
7848 17861 1681 23867
[TEST ] 155 ----------------
8356 17353 1833 23715
[TEST ] 156 ----------------
7740 17969 1664 23884
[TEST ] 157 ----------------
8045 17664 1815 23733
[TEST ] 158 ----------------
8171 17538 1799 23749
[TEST ] 159 ----------------
7664 18045 1521 24027
[TEST ] 160 ----------------
7377 18332 1569 23979
[TEST ] 161 ----------------
7243 18466 1418 24130
[TEST ] 162 ----------------
7228 18481 1501 24047
[TEST ] 163 ----------------
6449 19260 1301 24247
[TEST ] 164 ----------------
6985 18724 1309 24239
[TEST ] 165 ----------------
7713 17996 1588 23960
[TEST ] 166 ----------------
7507 18202 1514 24034
[TEST ] 167 ----------------
8037 17672 1690 23858
[TEST ] 168 ----------------
6657 19052 1335 24213
[TEST ] 169 ----------------
8193 17516 1851 23697
[TEST ] 170 ----------------
7412 18297 1541 24007
[TEST ] 171 ----------------
7355 18354 1490 24058
[TEST ] 172 ----------------
7296 18413 1518 24030
[TEST ] 173 ----------------
7809 17900 1653 23895
[TEST ] 174 ----------------
7303 18406 1544 24004
[TEST ] 175 ----------------
8685 17024 2039 23509
[TEST ] 176 ----------------
7760 17949 1627 23921
[TEST ] 177 ----------------
7992 17717 1748 23800
[TEST ] 178 ----------------
8373 17336 1946 23602
[TEST ] 179 ----------------
8196 17513 1692 23856
[TEST ] 180 ----------------
6975 18734 1327 24221
[TEST ] 181 ----------------
8472 17237 1974 23574
[TEST ] 182 ----------------
7536 18173 1640 23908
[TEST ] 183 ----------------
6364 19345 1276 24272
[TEST ] 184 ----------------
7473 18236 1599 23949
[TEST ] 185 ----------------
8379 17330 1904 23644
[TEST ] 186 ----------------
7393 18316 1519 24029
[TEST ] 187 ----------------
8736 16973 2020 23528
[TEST ] 188 ----------------
7847 17862 1658 23890
[TEST ] 189 ----------------
6950 18759 1352 24196
[TEST ] 190 ----------------
7683 18026 1567 23981
[TEST ] 191 ----------------
7518 18191 1522 24026
[TEST ] 192 ----------------
7299 18410 1495 24053
[TEST ] 193 ----------------
8537 17172 2060 23488
[TEST ] 194 ----------------
6760 18949 1339 24209
[TEST ] 195 ----------------
8404 17305 1875 23673
[TEST ] 196 ----------------
5985 19724 1174 24374
[TEST ] 197 ----------------
7979 17730 1780 23768
[TEST ] 198 ----------------
7987 17722 1767 23781
[TEST ] 199 ----------------
6855 18854 1292 24256
[TEST ] 200 ----------------
original
230m 56s
[TEST ] 200 ----------------
6855 18854 1292 24256
accuracy   0.6070
auc        0.7402
f1macro    0.5558
f1micro    0.6070
loss       388989.1150
precision0 0.8414
precision1 0.5627
recall0    0.2666
recall1    0.9494

