The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
11430 14279 5316 20232
[TEST ] 1 ----------------
9972 15737 3012 22536
[TEST ] 2 ----------------
12997 12712 5325 20223
[TEST ] 3 ----------------
12963 12746 4660 20888
[TEST ] 4 ----------------
14143 11566 5644 19904
[TEST ] 5 ----------------
10493 15216 2824 22724
[TEST ] 6 ----------------
13903 11806 5733 19815
[TEST ] 7 ----------------
11551 14158 3688 21860
[TEST ] 8 ----------------
13759 11950 5139 20409
[TEST ] 9 ----------------
13478 12231 4792 20756
[TEST ] 10 ----------------
10111 15598 2645 22903
[TEST ] 11 ----------------
12472 13237 4306 21242
[TEST ] 12 ----------------
11827 13882 3622 21926
[TEST ] 13 ----------------
11880 13829 4024 21524
[TEST ] 14 ----------------
12413 13296 4546 21002
[TEST ] 15 ----------------
11646 14063 3901 21647
[TEST ] 16 ----------------
11515 14194 3839 21709
[TEST ] 17 ----------------
9877 15832 2411 23137
[TEST ] 18 ----------------
9346 16363 2184 23364
[TEST ] 19 ----------------
9664 16045 2593 22955
[TEST ] 20 ----------------
9859 15850 2725 22823
[TEST ] 21 ----------------
9383 16326 2567 22981
[TEST ] 22 ----------------
10221 15488 2907 22641
[TEST ] 23 ----------------
8762 16947 2044 23504
[TEST ] 24 ----------------
9578 16131 2449 23099
[TEST ] 25 ----------------
7751 17958 1691 23857
[TEST ] 26 ----------------
8873 16836 2093 23455
[TEST ] 27 ----------------
9694 16015 2572 22976
[TEST ] 28 ----------------
7979 17730 1838 23710
[TEST ] 29 ----------------
9237 16472 2471 23077
[TEST ] 30 ----------------
7789 17920 1845 23703
[TEST ] 31 ----------------
8947 16762 2248 23300
[TEST ] 32 ----------------
10425 15284 3106 22442
[TEST ] 33 ----------------
9015 16694 2210 23338
[TEST ] 34 ----------------
9605 16104 2579 22969
[TEST ] 35 ----------------
8412 17297 1988 23560
[TEST ] 36 ----------------
8411 17298 1933 23615
[TEST ] 37 ----------------
8658 17051 2142 23406
[TEST ] 38 ----------------
8302 17407 1860 23688
[TEST ] 39 ----------------
8328 17381 1950 23598
[TEST ] 40 ----------------
8378 17331 1924 23624
[TEST ] 41 ----------------
7456 18253 1633 23915
[TEST ] 42 ----------------
9240 16469 2403 23145
[TEST ] 43 ----------------
9290 16419 2480 23068
[TEST ] 44 ----------------
7934 17775 1710 23838
[TEST ] 45 ----------------
8215 17494 1933 23615
[TEST ] 46 ----------------
8898 16811 2136 23412
[TEST ] 47 ----------------
8783 16926 2020 23528
[TEST ] 48 ----------------
8137 17572 1826 23722
[TEST ] 49 ----------------
8778 16931 2044 23504
[TEST ] 50 ----------------
8773 16936 2051 23497
[TEST ] 51 ----------------
7925 17784 1774 23774
[TEST ] 52 ----------------
9367 16342 2376 23172
[TEST ] 53 ----------------
8179 17530 1834 23714
[TEST ] 54 ----------------
8114 17595 1846 23702
[TEST ] 55 ----------------
8893 16816 1969 23579
[TEST ] 56 ----------------
9767 15942 2572 22976
[TEST ] 57 ----------------
8063 17646 1831 23717
[TEST ] 58 ----------------
9030 16679 2228 23320
[TEST ] 59 ----------------
8543 17166 1932 23616
[TEST ] 60 ----------------
8530 17179 1870 23678
[TEST ] 61 ----------------
10254 15455 2958 22590
[TEST ] 62 ----------------
8109 17600 1773 23775
[TEST ] 63 ----------------
7573 18136 1669 23879
[TEST ] 64 ----------------
8248 17461 1839 23709
[TEST ] 65 ----------------
8063 17646 1845 23703
[TEST ] 66 ----------------
9821 15888 2538 23010
[TEST ] 67 ----------------
8667 17042 1986 23562
